Name,D_ob_to_host,D_sim_to_host,D_ob,D_sim,Lon,Lat,Simulation,Halo_ID,Mstar,Mvir,Rvir,Angle
LMC,49.59,90.52257903732762,49.59,,280.465262173026,-32.88850321454838,17_11,127000000000078,1591690000.0,7775420000.0,45.25601298509665,52.288335181191535
SMC,62.43999999999999,158.43239079358202,62.44,,302.7969908953207,-44.29931019027632,17_11,127000000000116,258909000.0,5228250000.0,41.655599822930505,38.223735793398745
M33,220.38159738217638,213.03676617208822,840,,133.61015704826232,-31.330637240795035,37_11,127000000000041,1681490000.0,24688000000.0,69.86867345433083,4.765690606084389
M31,0,0,761,850.2168483735595,121.17323474591166,-21.57285486205315,37_11,127000000000001,38048600000.0,705434000000.0,213.60483989966062,16.082333521443108
